threshold,precision,recall,f1,accuracy,flagged,flag_rate,tp,fp,fn,tn,model,total_cost_pence,total_cost_gbp
0.31,0.4396423248882265,0.2976791120080727,0.35499398315282793,0.8233937397034596,671,0.11054365733113673,295,376,696,4703,logistic regression,14253458.0,142534.58
0.32,0.45840130505709625,0.28355196770938446,0.35037406483790523,0.82833607907743,613,0.10098846787479407,281,332,710,4747,logistic regression,14266216.4,142662.164
0.33,0.4654867256637168,0.26538849646821394,0.3380462724935733,0.8303130148270181,565,0.09308072487644152,263,302,728,4777,logistic regression,14309271.2,143092.712
0.34,0.4624277456647399,0.24217961654894046,0.31788079470198677,0.8303130148270181,519,0.08550247116968698,240,279,751,4800,logistic regression,14379665.0,143796.65
0.35,0.4669421487603306,0.22805247225025227,0.3064406779661017,0.8314662273476112,484,0.07973640856672158,226,258,765,4821,logistic regression,14415492.4,144154.924
0.36,0.47276688453159044,0.218970736629667,0.2993103448275862,0.8326194398682043,459,0.0756177924217463,217,242,774,4837,logistic regression,14436016.8,144360.168
0.37,0.48484848484848486,0.20988900100908173,0.29295774647887324,0.8345963756177924,429,0.07067545304777595,208,221,783,4858,logistic regression,14451526.2,144515.262
0.38,0.5037783375314862,0.20181634712411706,0.2881844380403458,0.8372322899505766,397,0.06540362438220758,200,197,791,4882,logistic regression,14459963.0,144599.63
0.39,0.5,0.18869828456104945,0.273992673992674,0.8367380560131795,374,0.06161449752883031,187,187,804,4892,logistic regression,14502759.8,145027.598
0.4,0.49714285714285716,0.17558022199798184,0.2595078299776286,0.8364085667215816,350,0.057660626029654036,174,176,817,4903,logistic regression,14544553.6,145445.536
0.41,0.5044510385756676,0.1715438950554995,0.2560240963855422,0.8372322899505766,337,0.05551894563426689,170,167,821,4912,logistic regression,14551781.0,145517.81
0.42,0.5235109717868338,0.16851664984863773,0.2549618320610687,0.8392092257001648,319,0.05255354200988468,167,152,824,4927,logistic regression,14548926.8,145489.268
0.43,0.5302013422818792,0.15943491422805248,0.2451512800620636,0.8397034596375618,298,0.049093904448105435,158,140,833,4939,logistic regression,14573463.2,145734.63199999998
0.44,0.5316901408450704,0.15237134207870837,0.23686274509803923,0.8397034596375618,284,0.046787479406919276,151,133,840,4946,logistic regression,14594887.4,145948.874
0.45,0.5296296296296297,0.1442986881937437,0.2268041237113402,0.8393739703459637,270,0.044481054365733116,143,127,848,4952,logistic regression,14621378.2,146213.782
0.46,0.541501976284585,0.13824419778002017,0.2202572347266881,0.8401976935749588,253,0.04168039538714992,137,116,854,4963,logistic regression,14634726.8,146347.268
0.47,0.5416666666666666,0.1311806256306761,0.21121039805036557,0.8400329489291598,240,0.039538714991762765,130,110,861,4969,logistic regression,14657154.0,146571.54
0.48,0.5330396475770925,0.12209889001009082,0.1986863711001642,0.8392092257001648,227,0.03739703459637562,121,106,870,4973,logistic regression,14689714.4,146897.144
0.49,0.5446009389671361,0.1170534813319879,0.19269102990033224,0.8398682042833608,213,0.03509060955518946,116,97,875,4982,logistic regression,14701005.4,147010.054
0.5,0.5441176470588235,0.11200807265388496,0.18577405857740587,0.8397034596375618,204,0.03360790774299835,111,93,880,4986,logistic regression,14717311.4,147173.114
0.51,0.5510204081632653,0.10898082744702321,0.18197135636057288,0.8400329489291598,196,0.03228995057660626,108,88,883,4991,logistic regression,14724487.2,147244.872
0.52,0.5508021390374331,0.10393541876892028,0.17487266553480477,0.8398682042833608,187,0.030807248764415155,103,84,888,4995,logistic regression,14740793.2,147407.932
0.53,0.5555555555555556,0.10090817356205853,0.1707941929974381,0.8400329489291598,180,0.029654036243822075,100,80,891,4999,logistic regression,14748972.0,147489.72
0.54,0.5517241379310345,0.09687184661957618,0.1648068669527897,0.8397034596375618,174,0.028665568369028005,96,78,895,5001,logistic regression,14763220.4,147632.204
0.55,0.5515151515151515,0.09182643794147326,0.157439446366782,0.8395387149917628,165,0.027182866556836903,91,74,900,5005,logistic regression,14779526.4,147795.264
0.56,0.5584415584415584,0.08678102926337034,0.15021834061135372,0.8397034596375618,154,0.025370675453047775,86,68,905,5011,logistic regression,14793826.4,147938.264
0.57,0.5594405594405595,0.08072653884964683,0.14109347442680775,0.8395387149917628,143,0.023558484349258647,80,63,911,5016,logistic regression,14813193.0,148131.93
0.58,0.5539568345323741,0.07769929364278506,0.13628318584070798,0.8392092257001648,139,0.022899505766062603,77,62,914,5017,logistic regression,14824380.8,148243.80800000002
0.59,0.5671641791044776,0.07669021190716448,0.1351111111111111,0.8397034596375618,134,0.022075782537067545,76,58,915,5021,logistic regression,14824432.4,148244.324
0.6,0.5538461538461539,0.07265388496468214,0.12845673505798394,0.8390444810543657,130,0.0214168039538715,72,58,919,5021,logistic regression,14840686.8,148406.86800000002
0.61,0.5691056910569106,0.07063572149344097,0.12567324955116696,0.8395387149917628,123,0.020263591433278418,70,53,921,5026,logistic regression,14843799.0,148437.99
0.62,0.575,0.06962663975782038,0.12421242124212421,0.8397034596375618,120,0.019769357495881382,69,51,922,5028,logistic regression,14845856.6,148458.566
0.63,0.5701754385964912,0.06559031281533804,0.11764705882352941,0.8393739703459637,114,0.018780889621087316,65,49,926,5030,logistic regression,14860105.0,148601.05
0.64,0.5607476635514018,0.060544904137235116,0.1092896174863388,0.8388797364085667,107,0.017627677100494232,60,47,931,5032,logistic regression,14878417.0,148784.17
0.65,0.5566037735849056,0.05953582240161453,0.10756608933454877,0.8387149917627678,106,0.017462932454695223,59,47,932,5032,logistic regression,14882480.6,148824.80599999998
0.66,0.5544554455445545,0.056508577194752774,0.10256410256410256,0.8385502471169687,101,0.016639209225700165,56,45,935,5034,logistic regression,14892665.4,148926.654
0.67,0.5416666666666666,0.05247225025227043,0.09567617295308188,0.8380560131795717,96,0.015815485996705108,52,44,939,5035,logistic regression,14907916.8,149079.168
0.68,0.5425531914893617,0.05146316851664985,0.09400921658986175,0.8380560131795717,94,0.015485996705107084,51,43,940,5036,logistic regression,14910977.4,149109.774
0.69,0.5333333333333333,0.04843592330978809,0.08880666049953746,0.8377265238879736,90,0.014827018121911038,48,42,943,5037,logistic regression,14922165.2,149221.652
0.7,0.5402298850574713,0.04742684157416751,0.08719851576994433,0.8378912685337726,87,0.014332784184514002,47,40,944,5039,logistic regression,14924222.8,149242.228
0.71,0.5609756097560976,0.04641775983854692,0.08574091332712022,0.8383855024711697,82,0.013509060955518945,46,36,945,5043,logistic regression,14924274.4,149242.744
0.72,0.575,0.04641775983854692,0.08590102707749767,0.8387149917627678,80,0.013179571663920923,46,34,945,5045,logistic regression,14922268.4,149222.684
0.73,0.6,0.045408678102926335,0.08442776735459662,0.8392092257001648,75,0.012355848434925865,45,30,946,5049,logistic regression,14922320.0,149223.2
0.74,0.6027397260273972,0.044399596367305755,0.08270676691729323,0.8392092257001648,73,0.012026359143327841,44,29,947,5050,logistic regression,14925380.6,149253.80599999998
0.75,0.5857142857142857,0.04137235116044399,0.07728557964184732,0.8387149917627678,70,0.011532125205930808,41,29,950,5050,logistic regression,14937571.4,149375.714
0.76,0.582089552238806,0.039354187689202826,0.07372400756143667,0.8385502471169687,67,0.011037891268533773,39,28,952,5051,logistic regression,14944695.6,149446.956
0.77,0.576271186440678,0.034308779011099896,0.06476190476190476,0.8382207578253706,59,0.00971993410214168,34,25,957,5054,logistic regression,14962004.6,149620.046
0.78,0.5714285714285714,0.03229061553985873,0.061127029608404965,0.8380560131795717,56,0.009225700164744647,32,24,959,5055,logistic regression,14969128.8,149691.288
0.79,0.5686274509803921,0.029263370332996974,0.05566218809980806,0.8378912685337726,51,0.008401976935749587,29,22,962,5057,logistic regression,14979313.6,149793.136
0.8,0.5416666666666666,0.026236125126135216,0.05004812319538017,0.8373970345963756,48,0.007907742998352554,26,22,965,5057,logistic regression,14991504.4,149915.044
0.81,0.5111111111111111,0.02320887991927346,0.0444015444015444,0.8369028006589786,45,0.007413509060955519,23,22,968,5057,logistic regression,15003695.2,150036.952
