threshold,precision,recall,f1,accuracy,flagged,flag_rate,tp,fp,fn,tn,model,total_cost_pence,total_cost_gbp
0.75,0.6410256410256411,0.050454086781029264,0.09354536950420954,0.8403624382207578,78,0.012850082372322899,50,28,941,5051,lightgbm (cpu),14899996.0,148999.96
0.76,0.6571428571428571,0.04641775983854692,0.08671065032987747,0.8403624382207578,70,0.011532125205930808,46,24,945,5055,lightgbm (cpu),14912238.4,149122.384
0.77,0.6615384615384615,0.04339051463168517,0.08143939393939394,0.8401976935749588,65,0.01070840197693575,43,22,948,5057,lightgbm (cpu),14922423.2,149224.232
0.78,0.639344262295082,0.039354187689202826,0.0741444866920152,0.8395387149917628,61,0.010049423393739704,39,22,952,5057,lightgbm (cpu),14938677.6,149386.77599999998
0.79,0.66,0.033299697275479316,0.06340057636887608,0.8393739703459637,50,0.008237232289950576,33,17,958,5062,lightgbm (cpu),14958044.2,149580.44199999998
0.8,0.6904761904761905,0.029263370332996974,0.05614714424007745,0.8393739703459637,42,0.0069192751235584845,29,13,962,5066,lightgbm (cpu),14970286.6,149702.866
0.81,0.7297297297297297,0.027245206861755803,0.05252918287937743,0.8395387149917628,37,0.006095551894563427,27,10,964,5069,lightgbm (cpu),14975404.8,149754.048
0.82,0.7058823529411765,0.024217961654894045,0.04682926829268293,0.8390444810543657,34,0.005601317957166392,24,10,967,5069,lightgbm (cpu),14987595.6,149875.956
0.83,0.7,0.02119071644803229,0.04113614103819784,0.8387149917627678,30,0.004942339373970346,21,9,970,5070,lightgbm (cpu),14998783.4,149987.834
0.84,0.7272727272727273,0.016145307769929364,0.0315893385982231,0.8383855024711697,22,0.003624382207578254,16,6,975,5073,lightgbm (cpu),15016092.4,150160.924
0.85,0.6842105263157895,0.013118062563067608,0.02574257425742574,0.8378912685337726,19,0.003130148270181219,13,6,978,5073,lightgbm (cpu),15028283.2,150282.832
0.86,0.6428571428571429,0.009081735620585268,0.01791044776119403,0.8373970345963756,14,0.0023064250411861617,9,5,982,5074,lightgbm (cpu),15043534.6,150435.346
0.87,0.6153846153846154,0.008072653884964682,0.01593625498007968,0.8372322899505766,13,0.00214168039538715,8,5,983,5074,lightgbm (cpu),15047598.2,150475.982
0.88,0.6666666666666666,0.008072653884964682,0.015952143569292122,0.8373970345963756,12,0.0019769357495881385,8,4,983,5075,lightgbm (cpu),15046595.2,150465.952
0.89,0.5,0.0020181634712411706,0.004020100502512563,0.8367380560131795,4,0.0006589785831960461,2,2,989,5077,lightgbm (cpu),15068970.8,150689.708
0.9,0.3333333333333333,0.0010090817356205853,0.002012072434607646,0.8365733113673806,3,0.0004942339373970346,1,2,990,5077,lightgbm (cpu),15073034.4,150730.344
0.91,0.0,0.0,0.0,0.8364085667215816,2,0.00032948929159802305,0,2,991,5077,lightgbm (cpu),15077098.0,150770.98
0.92,0.0,0.0,0.0,0.8365733113673806,1,0.00016474464579901152,0,1,991,5078,lightgbm (cpu),15076095.0,150760.95
0.93,0.0,0.0,0.0,0.8367380560131795,0,0.0,0,0,991,5079,lightgbm (cpu),15075092.0,150750.92
0.94,0.0,0.0,0.0,0.8367380560131795,0,0.0,0,0,991,5079,lightgbm (cpu),15075092.0,150750.92
0.95,0.0,0.0,0.0,0.8367380560131795,0,0.0,0,0,991,5079,lightgbm (cpu),15075092.0,150750.92
0.96,0.0,0.0,0.0,0.8367380560131795,0,0.0,0,0,991,5079,lightgbm (cpu),15075092.0,150750.92
0.97,0.0,0.0,0.0,0.8367380560131795,0,0.0,0,0,991,5079,lightgbm (cpu),15075092.0,150750.92
0.98,0.0,0.0,0.0,0.8367380560131795,0,0.0,0,0,991,5079,lightgbm (cpu),15075092.0,150750.92
0.99,0.0,0.0,0.0,0.8367380560131795,0,0.0,0,0,991,5079,lightgbm (cpu),15075092.0,150750.92
